Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;50;20;34;974;0,002;945;0,002;924;0,005;924;0,009;901;35121;3,992;901;62471;9,233;901;82386;15,968;915;301;0,024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;50;20;34;1619;0,002;1619;0,003;1593;0,005;1440;0,01;1440;16635;1,281;1440;27568;2,1;1440;40821;4,806;1440;227;0,023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;75;20;58;1623;0,003;1623;0,004;1623;0,008;1623;0,016;1536;31508;2,766;1536;31508;2,748;1536;61652;10,711;1623;169;0,011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;75;20;58;992;0,003;977;0,003;960;0,007;919;0,012;919;4957;0,18;919;117870;27,457;919;131961;33,553;919;75;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;100;20;65;957;0,002;947;0,004;947;0,008;947;0,014;929;8930;0,819;929;221946;93,684;929;240786;124,162;939;73;0,005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;100;20;65;969;0,002;945;0,004;868;0,009;868;0,015;851;11841;1,087;851;388485;279,663;851;424646;343,147;852;98;0,015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;100;20;65;1170;0,003;1134;0,005;1016;0,012;942;0,02;942;14009;1,448;942;841912;686,836;942;890054;1444,54;942;72;0,007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;100;20;65;1325;0,002;1325;0,005;1325;0,01;1325;0,02;1250;64992;32,711;1250;662529;664,031;1250;893074;3171,79;1325;117;0,018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;100;20;65;886;0,002;878;0,005;856;0,012;831;0,021;831;5497;0,494;831;474977;488,807;831;501320;744,158;831;44;0,005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;100;20;65;1132;0,003;1132;0,005;1132;0,01;1084;0,021;1080;23772;3,134;1080;463410;317,948;1080;510859;411,943;1084;94;0,009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;0,124;;0,046;;0,098;;0,182;;;;;;;;;;;;;;num;;Obj He;;Gap He;;Cpu He;;Obj NS 20;;Gap NS 20;;Cpu NS 20;;Obj NS 50;;Gap NS 50;;Cpu NS 50;;Obj NS 100;;Gap NS 100;;Cpu NS 100;;num;;Obj St(0);;Gap St(0);;# etats St(0);;CPU St(0);&;Obj St(3);;# etats St(3);;CPU St(3);;# etats St(2);;CPU St(2);;# etats St(1);;CPU St(1);
;;;;;;;;;;;;;;;;;;;;;;;;;1;&;325;&;34,85;&;0,016;&;325;&;34,85;&;0;&;325;&;34,85;&;0;&;325;&;34,85;&;0,001;\\ \hline;1;&;241;&;0;&;131;&;0,002;&;241;&;3077;&;0,025;&;10083;&;0,043;&;11422;&;0,06;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;2;&;520;&;45,25;&;0,005;&;520;&;45,25;&;0;&;415;&;15,92;&;0;&;373;&;4,19;&;0,001;\\ \hline;2;&;373;&;4,19;&;80;&;0,001;&;358;&;1074;&;0,005;&;6042;&;0,021;&;6834;&;0,033;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;3;&;271;&;21,52;&;0,005;&;263;&;17,94;&;0;&;231;&;3,59;&;0,001;&;223;&;0;&;0,001;\\ \hline;3;&;223;&;0;&;56;&;0;&;223;&;1670;&;0,011;&;11016;&;0,056;&;11504;&;0,067;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;4;&;259;&;28,22;&;0,01;&;235;&;16,34;&;0;&;235;&;16,34;&;0,001;&;235;&;16,34;&;0,001;\\ \hline;4;&;202;&;0;&;120;&;0,003;&;202;&;5631;&;0,059;&;9757;&;0,088;&;11491;&;0,115;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;5;&;395;&;53,7;&;0,012;&;323;&;25,68;&;0,001;&;306;&;19,07;&;0,002;&;298;&;15,95;&;0,003;\\ \hline;5;&;257;&;0;&;164;&;0,005;&;257;&;6728;&;0,109;&;20679;&;0,341;&;23413;&;0,507;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;6;&;380;&;68,14;&;0,003;&;335;&;48,23;&;0,001;&;276;&;22,12;&;0,002;&;237;&;4,87;&;0,004;\\ \hline;6;&;226;&;0;&;48;&;0,001;&;226;&;531;&;0,006;&;67657;&;2,244;&;68316;&;2,466;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;7;&;222;&;25,42;&;0,014;&;186;&;5,08;&;0,001;&;177;&;0;&;0,001;&;177;&;0;&;0,003;\\ \hline;7;&;177;&;0;&;46;&;0;&;177;&;602;&;0,009;&;64720;&;3,114;&;66144;&;3,402;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;8;&;357;&;26,6;&;0,011;&;303;&;7,45;&;0,001;&;283;&;0,35;&;0,001;&;283;&;0,35;&;0,003;\\ \hline;8;&;282;&;0;&;190;&;0,007;&;282;&;5513;&;0,058;&;11052;&;0,136;&;15478;&;0,248;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;9;&;347;&;10,86;&;0,011;&;347;&;10,86;&;0,001;&;341;&;8,95;&;0,002;&;339;&;8,31;&;0,003;\\ \hline;9;&;323;&;3,19;&;110;&;0,003;&;313;&;8724;&;0,079;&;14777;&;0,211;&;18045;&;0,353;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;10;&;361;&;7,44;&;0,013;&;357;&;6,25;&;0,001;&;336;&;0;&;0,002;&;336;&;0;&;0,004;\\ \hline;10;&;336;&;0;&;149;&;0,008;&;336;&;24125;&;0,679;&;314059;&;18,718;&;327525;&;23,927;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;11;&;974;&;8,1;&;0,002;&;945;&;4,88;&;0,002;&;924;&;2,55;&;0,005;&;924;&;2,55;&;0,009;\\ \hline;11;&;915;&;1,55;&;301;&;0,024;&;901;&;35121;&;3,992;&;62471;&;9,233;&;82386;&;15,968;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;12;&;1619;&;12,43;&;0,002;&;1619;&;12,43;&;0,003;&;1593;&;10,63;&;0,005;&;1440;&;0;&;0,01;\\ \hline;12;&;1440;&;0;&;227;&;0,023;&;1440;&;16635;&;1,281;&;27568;&;2,1;&;40821;&;4,806;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;13;&;1623;&;5,66;&;0,003;&;1623;&;5,66;&;0,004;&;1623;&;5,66;&;0,008;&;1623;&;5,66;&;0,016;\\ \hline;13;&;1623;&;5,66;&;169;&;0,011;&;1536;&;31508;&;2,766;&;31508;&;2,748;&;61652;&;10,711;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;14;&;992;&;7,94;&;0,003;&;977;&;6,31;&;0,003;&;960;&;4,46;&;0,007;&;919;&;0;&;0,012;\\ \hline;14;&;919;&;0;&;75;&;0,002;&;919;&;4957;&;0,18;&;117870;&;27,457;&;131961;&;33,553;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;15;&;957;&;3,01;&;0,002;&;947;&;1,94;&;0,004;&;947;&;1,94;&;0,008;&;947;&;1,94;&;0,014;\\ \hline;15;&;939;&;1,08;&;73;&;0,005;&;929;&;8930;&;0,819;&;221946;&;93,684;&;240786;&;124,162;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;16;&;969;&;13,87;&;0,002;&;945;&;11,05;&;0,004;&;868;&;2;&;0,009;&;868;&;2;&;0,015;\\ \hline;16;&;852;&;0,12;&;98;&;0,015;&;851;&;11841;&;1,087;&;388485;&;279,663;&;424646;&;343,147;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;17;&;1170;&;24,2;&;0,003;&;1134;&;20,38;&;0,005;&;1016;&;7,86;&;0,012;&;942;&;0;&;0,02;\\ \hline;17;&;942;&;0;&;72;&;0,007;&;942;&;14009;&;1,448;&;841912;&;686,836;&;890054;&;1444,54;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;18;&;1325;&;6;&;0,002;&;1325;&;6;&;0,005;&;1325;&;6;&;0,01;&;1325;&;6;&;0,02;\\ \hline;18;&;1325;&;6;&;117;&;0,018;&;1250;&;64992;&;32,711;&;662529;&;664,031;&;893074;&;3171,79;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;19;&;886;&;6,62;&;0,002;&;878;&;5,66;&;0,005;&;856;&;3,01;&;0,012;&;831;&;0;&;0,021;\\ \hline;19;&;831;&;0;&;44;&;0,005;&;831;&;5497;&;0,494;&;474977;&;488,807;&;501320;&;744,158;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;20;&;1132;&;4,81;&;0,003;&;1132;&;4,81;&;0,005;&;1132;&;4,81;&;0,01;&;1084;&;0,37;&;0,021;\\ \hline;20;&;1084;&;0,37;&;94;&;0,009;&;1080;&;23772;&;3,134;&;463410;&;317,948;&;510859;&;411,943;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;&;754,2;&;20,732;&;0,0062;&;735,95;&;14,8525;&;0,0023;&;708,45;&;8,5055;&;0,0049;&;686,45;&;5,169;&;0,0091;\\ \hline;;&;675,5;&;1,108;&;118,2;&;0,00745;&;664,7;&;13746,85;&;2,4476;&;191125,9;&;129,87395;&;216886,55;&;316,7978;\\ \hline
