Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0);;;;VAL PL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;10;80;2;181;0,003;168;0,002;154;0,004;140;0,007;134;536;0,014;134;42913;6,745;134;43867;6,977;140;29;0,001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;15;327;4;1033;0,003;1014;0,008;990;0,017;970;0,03;0;613249;3613,47;0;1020778;3856,31;0;1020778;3707,92;914;314;0,138;;;;912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;20;180;6;1017;0,002;1006;0,005;992;0,008;970;0,017;956;7115;0,698;0;1610932;3673,96;0;1610932;3844,4;967;59;0,006;;;;956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;20;440;5;1535;0,003;1535;0,013;1524;0,031;1513;0,061;0;1550626;3602,32;0;1559487;3710,34;0;1559487;3862,77;1372;642;0,63;;;;1372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;30;177;8;1407;0,003;1402;0,008;1381;0,014;1371;0,024;1346;261078;408,826;0;1067321;3799,09;0;1115578;4056,97;1354;106;0,03;;;;1346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;30;260;6;1398;0,003;1390;0,009;1376;0,019;1361;0,035;0;909386;4080,64;0;1118045;3751,39;0;1118045;3684,39;1292;429;0,371;;;;1291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;30;544;4;1356;0,003;1343;0,03;1324;0,06;1318;0,111;0;703595;3809,08;0;1019333;3769,64;0;1169832;3678,05;1288;410;0,712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;50;265;10;2553;0,028;2551;0,027;2518;0,049;2490;0,093;0;872810;3701,67;0;764772;3664,77;0;1256433;3631,32;2427;390;0,443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;50;500;8;2457;0,046;2449;0,039;2449;0,085;2449;0,161;0;2238483;3642,79;0;2010204;3654,53;0;2238483;3660,75;2218;442;1,936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;70;328;10;2807;0,004;2780;0,034;2751;0,063;2733;0,115;0;1137757;3646,6;0;918477;3839,88;0;1227651;3759,62;2657;609;1,433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
